"ID"	"jarjarbinks_29"	"korra_29"	"kubo_30"	"hamlet_31"	"jarjarbinks_32"	"goose_37"	"hera_37"	"kubo_37"	"lambchop_37"	"ophelia_37"	"wolverine_37"	"hamlet_41"	"hera_41"	"goose_42"	"lambchop_42"	"buddy_57"	"joans_57"	"ginger_58"	"henry_59"	"joans_60"	"marshmallow_60"	"joans_62"	"henry_66"	"ivy_67"	"franc_68"	"grogu_70"
"o__Selenomonadales"	1050	1142	532	1406	932	554	590	1707	365	219	1497	2027	1380	607	542	547	492	1094	994	1099	282	1216	291	1036	999	200
"o__Bacteroidales"	475	179	169	760	1304	747	1318	558	642	464	445	1176	779	583	1548	490	243	550	897	379	439	759	1922	348	459	2666
"o__Acidaminococcales"	653	390	596	567	1302	1027	809	704	767	376	829	1593	688	792	1052	833	207	793	768	1174	486	581	492	421	457	51
"o__Veillonellales"	432	259	276	454	1220	459	280	256	633	66	345	396	219	809	401	284	283	1013	1010	420	338	1012	264	641	815	35
"o__Enterobacterales"	280	1828	114	116	1174	164	3	67	260	2548	13	344	155	53	10	1	1090	0	14	285	1528	30	7	614	310	462
"o__Lachnospirales"	504	152	219	452	1088	495	555	322	578	216	489	1652	442	456	125	199	173	464	102	299	288	126	400	374	435	17
"o__Aeromonadales"	504	11	1922	62	659	417	24	45	604	14	32	258	78	562	60	1466	1458	18	20	224	586	129	18	47	378	2
"o__Burkholderiales"	65	29	16	97	197	99	69	53	113	16	36	188	87	119	96	70	37	51	135	68	35	127	121	86	103	411
"o__Eubacteriales"	26	8	53	59	54	17	269	74	20	49	95	241	95	13	2	44	12	7	14	47	12	4	3	79	28	5
"o__Fusobacteriales"	0	0	13	5	0	12	27	180	3	12	90	98	52	0	149	35	1	0	31	0	0	0	129	129	3	0
"o__Coriobacteriales"	11	2	79	19	56	9	55	21	14	11	125	19	19	5	13	28	3	3	3	2	2	10	249	108	8	8
"o__Pseudomonadales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	108	3	0
"o__Bifidobacteriales"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140
"o__Lactobacillales"	0	0	5	1	1	0	0	3	0	0	3	2	2	0	1	2	0	1	9	2	1	2	24	0	0	0
"o__Anaeroplasmatales"	0	0	0	0	0	0	0	3	0	6	1	0	0	0	0	0	0	0	0	0	0	0	0	6	1	0
"o__Bacillales"	0	0	2	1	0	0	0	2	0	0	0	0	1	0	0	1	0	0	2	0	0	0	6	0	0	0
"o__Mycobacteriales"	0	0	0	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"o__Campylobacterales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
"o__Pasteurellales"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
